"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20","g21","g22","g23","g24","g25"
"CD99",0.3776,0.0019,0.2158,0.7283,0.2194,0.3604,0.926,1,0,0.2567,0.1335,0.231,0.5791,0.3099,0.6216,0.9438,0.0256,0.8365,0.9939,0.2248,0.3461,0.8498,0.7448,0.5223,0.4109,0.7507
"CLEC12A",0.0068,0.0063,0.0048,0.0113,0.0037,0.0022,0.0057,0.0056,0.0087,0.01,0.0105,0.0108,0.003,1,0.0306,0.0055,0.0061,0.0126,0.0036,0.0148,0,0.8188,0.0188,0.0173,0.1557,0
"CX3CR1",0.0047,0.0059,0.0048,0.5315,0,0.001,0.5861,0.0036,0.0088,5e-04,0.0022,0.0079,0.0062,1,0.0417,0.0093,0.0122,0.2566,0.374,0.01,0,0.0273,0.0112,0.0544,0.6947,0
"FCER1A",0.0034,0.0055,0.0034,0.002,0.0026,0.0025,0.0041,0.0034,0.007,0.0084,0.0025,0.0104,0.0024,0.0267,0.0212,0.0018,0.0033,0.0028,0.0031,0.0193,0.0022,1,0,0,0.0288,0
"ADGRG1",0.0237,0.0176,0.0155,0.9524,0.0046,0.0096,1,0.0149,0.0317,0.0103,0.0295,0.0206,0.0222,0.1059,0.3931,0.0694,0.0231,0.7031,0.6113,0.4061,0,0.0923,0.0169,0.5388,0.1464,0.0718
"HLA-A",0.1535,0.6187,0.2183,0.2431,0.0324,0.2037,0.2639,0.2612,0.6628,0.1842,0.021,1,0.1106,0.5989,0.351,0.3238,0.7101,0.3698,0.392,0,0.0113,0.4626,0.3022,0.1244,0.2676,0.9034
"HLA-DRA",0.0141,1,0.0097,0.0307,0.0046,0.0211,0.032,0.0156,0.9284,0.0092,0.0094,0.9875,0.0165,0.5518,0.2141,0.014,0.9775,0.0199,0.2409,0.0176,0.0011,0.9077,0,0.0462,0.4056,0.5624
"HLA-E",0.148,0.3092,0.2928,0.1358,0.0175,0.2812,0.2594,0.262,0.313,0.1601,0,0.8688,0.065,1,0.0882,0.1764,0.0363,0.1522,0.5794,0.011,0.0425,0.419,0.1525,0.0669,0.2627,0.3166
"IGKC",0.0049,0.2757,0.0033,0.0212,0.0015,0.0047,0.003,0.0047,0.4941,0.0023,6e-04,0.3652,0.0049,0.0722,0.0411,0.0035,0.3507,0.005,0.0027,0.0187,1e-04,0.0163,0,1,0.0347,0.0398
"IGLC1",0.0058,0.3343,0.0032,0.0186,0.0014,0.0067,0.0021,0.0033,0.4921,0.0033,1e-04,0.4194,0.0056,0.0751,0.0598,0.0037,0.4231,0.006,0.0045,0.0168,0.0012,0.0273,0,1,0.0395,0.0897
"IGHD",0.0123,0.9735,0.011,0.0109,0.005,0.0215,0.0085,0.0097,0.9892,0.0078,0.0094,0.8402,0.0117,0.0508,0.2592,0.0079,1,0.0113,0.0171,0.0052,0.0044,0.0347,0,0.0587,0.4642,0.1367
"IGHM",0.0078,0.5063,0.0051,0.019,0.0029,0.0091,0.0044,0.0065,1,0.0053,0.0032,0.8086,0.0067,0.051,0.0876,0.0067,0.6823,0.0039,0.0033,0.0203,0.0051,0.025,0,0.9514,0.1019,0.1737
"KLRG1",0.014,0.0055,0.0147,0.2956,0.0035,0.0118,0.5203,0.0629,0.0075,0.0138,0.012,0.0071,0.0209,0.0252,0.1602,0.3829,0.0048,1,0.468,0.0445,0.0035,0.0136,0.6229,0.104,0.1138,0
"OLR1",0.005,0.0139,0.0049,0.0026,0.0027,0.0037,0.0055,0.0033,0.0133,0.002,0.0056,0.0039,0.0031,1,0.0132,0.0017,0.0051,0.0053,0.0039,6e-04,0.0041,0.5884,0.0025,0,0.1019,0
"TCR-AB",1,0,0.517,0.1075,0.8325,0.9928,0.6797,0.7717,0.0082,0.9008,0.6364,0.0149,0.777,0.0723,0.6805,0.1843,0.0083,0.3841,0.6879,0.0071,0.9434,0.0145,0.2451,0.6175,0.696,0.0862
"TCR-vA7.2",0.0855,0.0075,0.3173,0.01,0.1664,0.1271,0.7015,0.1352,0.0329,0.1253,0.1061,0.0305,0.1523,0.0343,0.2525,0.1092,0.0165,1,0.8425,0,0.0816,0.0162,0.2093,0.0992,0.3493,0.0211
"TCR-vD2",0.0089,0.0078,0.0097,0.042,0.0042,0.009,0.013,0.014,0.0134,0.0122,0.0053,0.0146,0.0067,0.0274,0.0417,0.063,0.0129,1,0.0071,0.0017,0.0031,0.009,0.0779,0.0986,0,0
"TIGIT",0.0055,0.0122,0.0061,0.2624,0.0017,0.0118,0.0849,0.1465,0.0186,0.0051,0.0016,0.0195,0.1827,0.0282,0.0883,0.2409,0.0087,0.1262,0.5051,0.1055,0.0013,3e-04,0,0.0501,1,0
"CD44",0.7823,0.4459,0.6361,0.0638,0.6066,0.8414,0.5141,0.9013,0,0.6902,0.3279,0.7234,0.6792,0.8669,0.5305,0.7337,0.4799,0.6467,0.6925,0.6391,0.766,0.7582,0.7816,0.429,0.4347,1
"ITGA6",0.0074,5e-04,0.0026,0.0252,0.0055,0.0097,0,0.4131,0.0068,0.0084,0.0058,5e-04,0.2717,0.5827,1,0.1451,0.0193,0.0825,0.0589,0.0531,0.015,0.3719,0.6162,0.0148,0.025,0.0091
"ITGB7",0.0815,0.0845,0.2327,0.1133,0,0.0934,0.0385,0.358,0.1521,0.0473,8e-04,0.1097,0.0672,0.006,0.069,0.1513,0.1078,0.1596,0.7494,0.0775,0.0069,0.4279,0.3512,0.0996,0.0353,1
"ICOS",0.6758,0.0112,0.3939,0.0122,0.3687,0.7032,0.1456,1,0.0069,0.6392,0.2312,0.0199,0.5849,0.0599,0.4687,0.2426,0.0182,0.1853,0.6206,0,0.4671,0.0188,0.4941,0.408,0.4789,0.0772
