Readout,Condition,Metric,DenominatorGate,DenominatorLabel,LineageGate,n,k,kw_stat,kw_p,kw_p_adj
CCR6- CXCR3+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,2.453243308415736,0.2932817129604757,0.6161380524379743
CCR6+ CXCR3-,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,2.071704846877253,0.3549237066534818,0.6524332842894885
CD45RO- CD27-,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,1.8662903984411892,0.39331470982241645,0.6795532883494619
CCR6- CXCR3-,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,1.5250507643832447,0.46648688057318666,0.7343239674438545
TNFa,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,1.2572365565469,0.5333282033040988,0.7775467966527676
IL-21,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,0.7013852698428189,0.7042001671346897,0.853859222869671
CD45RO+ CD27+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,0.592767173698447,0.7435021756571984,0.8767714335580171
CCR6+ CXCR3+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,0.5038823245719755,0.7772904707179513,0.9080496153247095
PD-1,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,24,3,0.38593939393938115,0.824506958819914,0.9260796886575755
IFNy,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,0.36745599228358117,0.832162124353728,0.9260796886575755
HLA-DR+ CD38+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,0.18750904268145518,0.9105062446617609,0.9495341933108565
CD45RO- CD27+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,0.05793023544501565,0.9714503502762823,0.9792846272946395
CD45RO+ CD27-,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,0.016050156739808585,0.9920070366056976,0.9947829078244782
IL-22,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,29,3,7.662239141529091,0.02168532377963989,0.27062757523856734
TNFa,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,29,3,7.128468772606709,0.02831865833930603,0.27062757523856734
IFNy,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,29,3,5.064518929346519,0.07947923672744077,0.3485931435414069
CCR6+ CXCR3-,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,29,3,5.011468531468523,0.08161564840452247,0.3517915879505279
IL-2,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,29,3,4.867328581740987,0.08771483033571452,0.354183762586752
CCR6+ CXCR3+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,29,3,4.035688449481555,0.13294174892068025,0.4373083846075008
CCR6- CXCR3+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,29,3,3.855741499879443,0.14545758455726351,0.4597675024610934
CD107a,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,29,3,3.4206061984332523,0.18081098064421802,0.5135919761479392
IL-17a,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,29,3,3.055476009139376,0.2170260243896243,0.5669983569141714
IL-21,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,29,3,1.979614669636828,0.37164828780957715,0.6694142426330019
PD-1,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,24,3,1.0270909090909157,0.5983703187655384,0.8044331621713771
HLA-DR+ CD38+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,29,3,0.7486472148541026,0.6877543134098651,0.8469880707018044
CCR6- CXCR3-,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,29,3,0.43376972866994823,0.8050226507876863,0.9260796886575755
CCR6- CXCR3- / CCR4+,MED,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,37,3,2.6028215797597474,0.27214757902480036,0.5916251717930442
CCR6+ CXCR3- / CD161+,MED,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,37,3,2.5836965802363916,0.27476247271876386,0.5921605015490601
CCR6- CXCR3- / CCR4+,MED,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,37,3,3.7154527920554483,0.15602697094120369,0.47569198457684053
CD45RO+ CD27+ / CXCR5+,MED,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,37,3,2.3234253066935504,0.3129497472193247,0.6360767219904975
CCR6+ CXCR3-,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,8.249002505566535,0.016171558096763478,0.2336221604549847
CCR6- CXCR3+,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,6.844969894018556,0.03263124718706021,0.2913504213130376
IL-17a,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,6.493291421606161,0.03890448611153485,0.3013055719552743
TNFa,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,6.183888659198113,0.04541356956033647,0.3013055719552743
IL-21,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,4.384564825930364,0.11166159966766363,0.40457101328863637
IFNy,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,4.149599003099319,0.12558160388616943,0.43604723571586607
HLA-DR+ CD38+,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,2.878246005261842,0.23713563484324743,0.5700375837578063
CD45RO+ CD27-,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,2.7591952855110833,0.251679797880058,0.5853002890357195
IL-2,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,2.621735167095887,0.2695860664604437,0.5911975141676398
IL-22,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,1.3773413614098273,0.502243267174028,0.7697178868075478
CD45RO- CD27-,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,1.290964385754303,0.5244096145507144,0.7775467966527676
CD45RO- CD27+,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,1.278766457969577,0.5276177430400901,0.7775467966527676
CD45RO+ CD27+,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,1.2395615429671096,0.5380623832837151,0.7775467966527676
CCR6- CXCR3-,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,1.0352789133746547,0.5959255971612574,0.8044331621713771
PD-1,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,31,3,0.6934621355873674,0.7069954365360875,0.853859222869671
CCR6+ CXCR3+,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,0.6837084762781274,0.7104517539319888,0.8539083580913326
IL-17a,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,7.563763050754783,0.02277979032440743,0.27062757523856734
IL-22,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,5.565103936311358,0.06188038892454638,0.3094019446227319
CCR6+ CXCR3-,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,5.265191634458272,0.0718916023566138,0.3366136578830599
CCR6- CXCR3+,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,5.215397437170351,0.07370396230707137,0.3366136578830599
CD107a,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,4.9052167421351145,0.08606879410347042,0.354183762586752
CCR6+ CXCR3+,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,4.465105744900196,0.10725427386079302,0.4002025144059441
TNFa,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,3.3055641722564397,0.19151635177874307,0.5261438235679755
IL-21,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,1.1663430373990364,0.5581254513289993,0.7927918342741467
CD45RO+ CD27-,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,0.984003504984908,0.6114012943553151,0.8107596431298978
IL-2,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,0.9789950851649017,0.6129342902062027,0.8107596431298978
HLA-DR+ CD38+,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,0.821719994411065,0.6630797581216815,0.8334499653795617
PD-1,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,31,3,0.7633719494507389,0.6827094075564873,0.8469880707018044
CD45RO+ CD27+,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,0.43695088277131333,0.8037432180220015,0.9260796886575755
CCR6- CXCR3-,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,0.23402368821544012,0.8895746568829539,0.9495341933108565
CD45RO- CD27+,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,0.1842133617976797,0.9120078505379655,0.9495341933108565
IFNy,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,0.08418223075580922,0.9587824167702197,0.9764932791952207
CD45RO- CD27-,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,0.010461497439828535,0.9947829078244782,0.9947829078244782
CCR6+ CXCR3-,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,6.1772984712557095,0.04556345835281379,0.3013055719552743
IFNy,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,5.7983910491650335,0.055067502694091865,0.3013055719552743
CCR6- CXCR3-,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,5.658541919441576,0.05905589210323377,0.3013055719552743
TNFa,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,5.4843587506126426,0.06442977710642836,0.3158322407177861
CCR6+ CXCR3+,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,4.841866373105266,0.08883867570781752,0.354183762586752
CD107a,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,2.918416868881252,0.23242017774251536,0.5700375837578063
IL-22,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,2.908322328931574,0.2335962305585609,0.5700375837578063
PD-1,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,31,3,2.816629291012603,0.24455509806238243,0.5767808916565623
IL-2,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,2.4108420698134863,0.2995658452797112,0.6240955109993984
CCR6- CXCR3+,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,2.355008638504029,0.30804656596077357,0.631242963034372
HLA-DR+ CD38+,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,2.16601121245084,0.33857636758007603,0.6398845068166343
IL-21,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,1.9623414179384553,0.374871975874481,0.6694142426330019
IL-17a,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,0.369917664035312,0.8311384994428979,0.9260796886575755
