"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"ZEB2",0.15,0.1527,8.9245,0.1758,24.8655,0.5671,9.7433,11.0447,8.0922,29.2953,4.7298,0.2109,37.674,2.424,29.2303,2.9402,13.7116,0.1864,10.7907,1.0979,6.4712,10.0372,15.7731,9.3337,15.7531,15.7025,18.4963,6.5351,6.1871
"GP9",5e-04,1e-04,2e-04,2e-04,6e-04,3e-04,0,4e-04,2e-04,0.001,2e-04,2e-04,4e-04,0,7e-04,0.0016,0,2e-04,0,7e-04,0.0016,0,0.0036,0,8e-04,2e-04,0,0,0.0019
"CD14",0.0017,0.0017,0.002,0.0015,0.0022,0.0018,0.0022,0.0026,0.0024,0.0011,0.0056,0.0012,1.4336,0.0029,5e-04,0.0492,0.2495,0.0033,0.0026,0.0024,8e-04,0,0.4256,0.0019,0.0014,0.0054,0.0099,0.0048,0
"MAL",0.9848,1.2879,0.013,0.4791,0.0118,0.5766,0.0107,0.0128,0.0137,0.0169,0.4626,0.7297,0.0142,0.7176,0.0102,0.5646,0.0223,0.8276,0.53,0.2293,0.0395,0.0115,0.313,0.0654,0.0311,0.0407,0.0397,0.0371,0.0754
"CD8B",0.0206,0.0747,0.0098,2.1311,0.0438,0.041,0.0103,0.0075,0.0113,1.7368,0.2192,0.177,0.0103,0.2718,0.5038,0.1532,0.0144,0.905,0.5874,0.093,0.0116,0.1254,0.1408,0.0492,0.3388,0.0203,0.0955,0.0212,0.0319
"CTSW",0.008,0.0081,0.0073,0.0371,0.4053,0.0111,0.0084,0.0025,0.0059,0.1193,0.0133,0.0076,0.0068,0.0598,0.2435,0.0229,0.0031,0.0155,0.1258,0.0378,1.5474,0.0754,0.0281,0.0135,0.1455,0.0563,0.8138,0.0196,0.0153
"CD7",0.5281,0.3935,0.0069,0.5368,0.5817,0.5267,0.0076,0.0092,0.0078,0.244,0.2415,0.4717,0.0068,0.6342,0.4299,0.2959,0.0087,0.484,0.4014,0.8369,0.8553,0.574,0.1478,0.063,0.2166,0.0373,0.8076,0.0216,0.0337
"CD19",0.0058,0.0048,1.1794,0.0076,0.0071,0.0046,1.2154,0.7839,0.5385,0.0074,0.561,0.0029,0.004,0.0042,0.0062,0.0824,0.0069,0.005,0.0131,0.0056,0.0065,0.0063,0.2461,0.0088,0.6583,0.0172,0.0106,0.7879,0.2932
"MAF",0.0427,0.0207,0.0029,0.0171,0.2671,0.7179,0.0047,0.0068,0.0097,0.3238,0.0716,0.2353,0.0517,0.015,0.1328,0.0908,0.0178,0.0432,0.187,1.2586,0.072,0.749,0.0952,0.0176,0.1277,0.0382,0.4203,0.01,0.0222
"PRF1",0.0079,0.0111,0.0055,0.032,1.9701,0.0174,0.0054,0.0053,0.0079,1.7807,0.0483,0.0471,0.0064,0.031,1.7805,0.0727,0.0089,0.0145,0.7661,0.0287,1.1385,1.3105,0.1551,0.0268,0.805,0.0145,1.9879,0.0094,0.0254
"TIGIT",0.0127,0.0096,0.0142,0.0199,1.4965,0.2751,0.0224,0.0185,0.019,0.6826,0.0923,1.5501,0.0083,0.4831,1.7738,0.0695,0.0073,0.0361,0.5618,0.031,0.6605,0.258,0.1031,0.0595,0.4949,0.0155,0.2948,0.0085,0.031
"ASCL2",1e-04,2e-04,0.0011,3e-04,0.0096,0,0.0024,5e-04,0.0016,0.0065,0.0011,0,0.0126,7e-04,0.0078,0,0.013,0,0.0023,2e-04,8e-04,0.0044,0.0096,0,0.0056,9e-04,0.0559,0,0
"SH2D1A",0.5269,0.7141,0.008,0.5051,0.5286,0.413,0.0101,0.0086,0.0104,0.5746,0.2815,0.4829,0.0119,0.8699,0.511,0.4,0.0096,0.5511,0.4973,0.2904,0.653,0.7526,0.1693,0.0401,0.225,0.0186,0.2912,0.049,0.0383
"NELL2",14.7192,4.7641,0.1964,37.2791,0.4325,6.3127,0.195,0.1867,0.2012,0.7671,6.8571,1.6154,0.2341,9.9496,0.9851,6.6357,0.2805,23.144,9.1431,7.0855,1.9717,1.496,3.6057,0.8787,0.6596,0.354,0.4473,0.4216,0.7337
"TNFAIP2",0.0083,0.0069,0.0073,0.008,0.0103,0.0052,0.0105,0.0107,0.0091,0.011,0.0168,0.0104,3.1801,0.0055,0.0056,0.3768,6.4057,0.0052,0.0161,0.0231,0.0075,0.009,1.9547,0.4434,0.0138,5.6044,0.084,0.0097,0.3895
"GP1BA",0.0023,0.0015,0.0013,0.0025,0.0013,0.0021,7e-04,8e-04,0.0011,7e-04,9e-04,0.0012,0.0012,0.001,7e-04,0.0079,0.0045,0.0021,0.0013,0.002,9e-04,0.0017,0.0039,0.0038,0.0026,0.0273,0,0,0.0077
"CXCR3",0.0017,0.0011,0.0022,0.0547,0.1466,0.0142,0.0156,0.0029,0.0048,0.14,0.0178,0.0062,7e-04,0.2468,0.1757,0.0142,0.0014,0.0339,0.0799,0.0111,0.3062,0.164,0.0209,0.0744,0.0798,0.0117,0.0467,0.0267,0.0481
"TNFRSF4",0.0069,0.0027,0.002,0.0017,0.0274,0.0536,0.0052,0.0062,0.0641,0.001,0.0159,0.0478,0.1154,0.0117,0.0078,0.0183,0.3967,0.0032,0.0134,0.1239,0.1594,0.012,0.1133,0.5863,0.0196,1.1605,0.0191,0,0.1773
"TNFRSF18",0.0016,0.0012,0.0337,0.0014,0.1128,0.0186,0.0569,0.0885,0.3828,0.004,0.0584,0.0221,0.0604,0.0297,0.0272,0.026,0.1107,0.0017,0.0335,0.1668,0.6567,0.0332,0.0691,0.095,0.0788,0.3564,0.0553,0.0135,0.0723
"PDCD1",0.0032,0.002,8e-04,0.0014,0.0049,0.0386,0.0047,0.0076,0.0755,0.0619,0.0136,0.0098,0.0064,0.0536,0.0699,0.0273,0.0171,0.0026,0.02,0.047,0.0011,0.0269,0.0248,0.0095,0.0286,0.0064,0.0543,0.0019,0.0056
