"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"SH3BP5-AS1",0.117993978272344,-0.202850509309668,0.175,0.15,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"OSGIN1",0.118306994654165,0.213692819472721,0.389,0.37,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"STARD5",0.118378877606806,-0.314087801143708,0.171,0.203,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"QPCTL",0.118431270661241,-0.688794086483498,0.119,0.128,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"USP37",0.118436467964705,-0.14054147787093,0.35,0.381,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ARL4A",0.118461851405799,-0.439921810329276,0.098,0.111,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ASCC3",0.118463505134901,0.229778920557152,0.503,0.463,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"LATS1",0.118472801871849,0.255547823470937,0.439,0.387,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ENSG00000288755",0.118564764731936,0.499848295372517,0.19,0.167,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"MRPL18",0.118722242941726,-0.526292607286874,0.138,0.16,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"GORAB",0.118765733219249,-0.457172952426305,0.094,0.117,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"KANK1",0.118795680137612,-0.123727212633638,0.499,0.526,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"JMJD6",0.118894554724618,-0.206427489369243,0.303,0.327,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"RPL41",0.118984365671184,0.377300642810986,0.23,0.189,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"TYW1",0.119124218193864,0.432936810258401,0.244,0.203,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"MYO19",0.119398140152497,0.162900038635045,0.2,0.159,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"CCDC146",0.11940284440273,0.529330319151084,0.13,0.097,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"LINC00662",0.119498281903814,0.618018001153676,0.111,0.08,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"NMRAL2P",0.119551112168516,0.281518094299669,0.478,0.434,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"IL4I1",0.119590340783981,0.3292479049881,0.347,0.309,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"RBM14-RBM4",0.119613214730969,0.567269006154976,0.139,0.107,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"LIN52",0.119641889445441,0.42176896537124,0.19,0.164,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"RRM2B",0.1197509373311,-0.347274678228289,0.159,0.186,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PNN",0.119798927055723,0.320300276017873,0.482,0.448,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"DPY19L3",0.119801390723641,0.194965810006298,0.131,0.102,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"CARS2",0.119962540284956,0.340671032557298,0.155,0.118,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PSMA1",0.120156662801201,0.180497738540402,0.571,0.557,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"FAM168B",0.120196989713454,0.15769878422768,0.476,0.452,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"EEPD1",0.120360296406384,0.277556441860171,0.395,0.363,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"DPH1-AS1",0.120427275701853,-0.252034769134292,0.148,0.173,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"POGZ",0.120508541903834,-0.170670450455497,0.461,0.484,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"UBXN1",0.12052644021973,-0.159904654619621,0.32,0.32,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PPIL2",0.12056758510041,0.416912675542471,0.23,0.189,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"GARRE1",0.120948802966142,0.249917192479093,0.228,0.183,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PRKRIP1",0.121006590069443,-0.122649172673945,0.312,0.283,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"LAMTOR5",0.121043958743496,0.519678547083471,0.148,0.111,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"TLR4",0.121199390343596,0.536668719702577,0.094,0.103,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"EPC2",0.121256291669881,0.107513186230866,0.702,0.708,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"LINC02757",0.121287843913156,-0.429828139504457,0.088,0.112,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"RGS10",0.121330822852637,0.167989634290804,0.404,0.35,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"FLCN",0.121386750875964,-0.155268023378261,0.591,0.625,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"CLTA",0.121628297826388,-0.100009104833575,0.419,0.451,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ZNF75D",0.121778084139799,0.449367850372587,0.178,0.142,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PHKB",0.121793433019371,0.276890945676252,0.476,0.453,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"CCR1",0.121878624501655,0.68962898931744,0.164,0.129,1,NA,NA,NA,"CD14_Mono_Infl","week12"
