"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"GNPAT",0.292793150673586,0.255340815769508,0.339,0.242,1,NA,NA,NA,"MAIT","week12"
"ALG11",0.293155631680583,-0.636471641484959,0.192,0.22,1,NA,NA,NA,"MAIT","week12"
"PFKL",0.293293268315093,0.146071196600909,0.279,0.275,1,NA,NA,NA,"MAIT","week12"
"SLC38A9",0.29353825677473,0.156343770107667,0.32,0.297,1,NA,NA,NA,"MAIT","week12"
"PDCD6",0.293693821666904,-0.182746107983803,0.305,0.33,1,NA,NA,NA,"MAIT","week12"
"CMC2",0.293759448782803,0.543354248342965,0.186,0.154,1,NA,NA,NA,"MAIT","week12"
"ARIH2",0.29383448046316,-0.17855271259483,0.404,0.429,1,NA,NA,NA,"MAIT","week12"
"KLRK1",0.293916895882742,-0.541711018894764,0.166,0.198,1,NA,NA,NA,"MAIT","week12"
"CD3E",0.294150924831244,0.161474807689773,0.417,0.396,1,NA,NA,NA,"MAIT","week12"
"NAPG",0.294285156422287,-0.13290396649783,0.194,0.209,1,NA,NA,NA,"MAIT","week12"
"AP3M1",0.294608198631393,0.341619568616977,0.21,0.143,1,NA,NA,NA,"MAIT","week12"
"PCMTD1",0.294742130799066,0.10806998260789,0.581,0.582,1,NA,NA,NA,"MAIT","week12"
"PIN4",0.294968645193922,0.502606907216525,0.171,0.132,1,NA,NA,NA,"MAIT","week12"
"DCAF5",0.294969038789292,-0.259873947306526,0.46,0.478,1,NA,NA,NA,"MAIT","week12"
"ETAA1",0.295061513048295,-0.230799252982182,0.106,0.11,1,NA,NA,NA,"MAIT","week12"
"ENSG00000256591",0.295153994526422,0.68826688301797,0.186,0.115,1,NA,NA,NA,"MAIT","week12"
"CACUL1",0.295385104072141,-0.151179313208654,0.359,0.324,1,NA,NA,NA,"MAIT","week12"
"BTG1",0.29541905164475,0.307178324219027,0.538,0.462,1,NA,NA,NA,"MAIT","week12"
"ENSG00000282278",0.295523621336705,-0.404228989341576,0.093,0.121,1,NA,NA,NA,"MAIT","week12"
"TRIM14",0.295835020364395,0.108098463550661,0.462,0.451,1,NA,NA,NA,"MAIT","week12"
"DVL3",0.295939331767411,0.163798776852694,0.194,0.176,1,NA,NA,NA,"MAIT","week12"
"SLC25A12",0.2963531545447,-0.389925612228607,0.272,0.242,1,NA,NA,NA,"MAIT","week12"
"TDRD3",0.296539882606249,0.143836814359226,0.343,0.269,1,NA,NA,NA,"MAIT","week12"
"HMGXB3",0.296897858659868,0.132483950143102,0.253,0.242,1,NA,NA,NA,"MAIT","week12"
"ZNF641",0.297149128698796,-0.7964920102088,0.117,0.132,1,NA,NA,NA,"MAIT","week12"
"CCPG1",0.297534492259615,-0.194357336180872,0.272,0.291,1,NA,NA,NA,"MAIT","week12"
"UBE2V1",0.297629030560459,-0.325357522059503,0.391,0.385,1,NA,NA,NA,"MAIT","week12"
"TRIP4",0.297707614641907,0.191672493689857,0.242,0.236,1,NA,NA,NA,"MAIT","week12"
"MAP2K5",0.29776627226854,0.204713260274578,0.477,0.44,1,NA,NA,NA,"MAIT","week12"
"FAS",0.297870210362358,-0.12079458597883,0.473,0.505,1,NA,NA,NA,"MAIT","week12"
"RNF114",0.297875357818759,-0.423863688036364,0.125,0.143,1,NA,NA,NA,"MAIT","week12"
"KIF3B",0.297966306055175,0.112073480866254,0.186,0.198,1,NA,NA,NA,"MAIT","week12"
"RNF213",0.298414392137335,0.159306409508189,0.957,0.984,1,NA,NA,NA,"MAIT","week12"
"ENSG00000225450",0.298517405229956,-0.565097164523527,0.093,0.104,1,NA,NA,NA,"MAIT","week12"
"ARFGAP1",0.298583870170967,0.529916031181209,0.149,0.093,1,NA,NA,NA,"MAIT","week12"
"KCTD2",0.29868661889905,-0.702952361841909,0.08,0.11,1,NA,NA,NA,"MAIT","week12"
"NUP153",0.298870240382706,0.177374523443379,0.6,0.566,1,NA,NA,NA,"MAIT","week12"
"VPS53",0.299144397368384,0.234731971252034,0.609,0.538,1,NA,NA,NA,"MAIT","week12"
"OAS1",0.299377288202991,0.730469018116051,0.121,0.071,1,NA,NA,NA,"MAIT","week12"
"CWC27",0.299532609955552,0.263930365364565,0.369,0.33,1,NA,NA,NA,"MAIT","week12"
"MAP2K2",0.300296720818371,0.61273511944011,0.173,0.11,1,NA,NA,NA,"MAIT","week12"
"GNE",0.300397400355159,0.50978377183843,0.138,0.099,1,NA,NA,NA,"MAIT","week12"
"RNF169",0.300747202105851,-0.317051492057922,0.393,0.374,1,NA,NA,NA,"MAIT","week12"
"BABAM2",0.300786151570795,0.127521317303182,0.626,0.588,1,NA,NA,NA,"MAIT","week12"
"TNIK",0.300820920437866,-0.122609528612724,0.829,0.879,1,NA,NA,NA,"MAIT","week12"
"CHM",0.301114027764282,0.333109386653639,0.41,0.324,1,NA,NA,NA,"MAIT","week12"
"RALBP1",0.301163730148824,0.345174213399555,0.307,0.258,1,NA,NA,NA,"MAIT","week12"
"ENSG00000290073",0.301174037887011,0.818226697131099,0.112,0.071,1,NA,NA,NA,"MAIT","week12"
"SRA1",0.301517794952666,-0.941356913423276,0.082,0.11,1,NA,NA,NA,"MAIT","week12"
"TSHZ1",0.301572674864005,-0.261474094070372,0.287,0.319,1,NA,NA,NA,"MAIT","week12"
"HOOK2",0.301784982335795,-0.104147590370695,0.175,0.209,1,NA,NA,NA,"MAIT","week12"
"ENSG00000243176",0.301829360273951,-0.645024496956062,0.108,0.137,1,NA,NA,NA,"MAIT","week12"
"CLIP1",0.301880379786523,0.200340611529717,0.531,0.489,1,NA,NA,NA,"MAIT","week12"
"PDCD7",0.301901998275754,0.467132987960839,0.158,0.132,1,NA,NA,NA,"MAIT","week12"
"LINC02648",0.301902116358857,0.565039075213037,0.112,0.06,1,NA,NA,NA,"MAIT","week12"
"MIS12",0.301920530996348,-0.780788598594471,0.097,0.104,1,NA,NA,NA,"MAIT","week12"
"NDUFS2",0.302003548373791,-0.341265574340673,0.194,0.176,1,NA,NA,NA,"MAIT","week12"
"GTPBP6",0.302166583335306,0.618406348636682,0.212,0.148,1,NA,NA,NA,"MAIT","week12"
"CDV3",0.302236587005625,0.489439914176376,0.361,0.264,1,NA,NA,NA,"MAIT","week12"
"MXD1",0.302451464772327,0.199932946565537,0.263,0.187,1,NA,NA,NA,"MAIT","week12"
"TWF1",0.302460013420261,-0.128037961576138,0.097,0.121,1,NA,NA,NA,"MAIT","week12"
"STIP1",0.302531642671715,0.228625993680224,0.333,0.247,1,NA,NA,NA,"MAIT","week12"
"EHD4",0.302653847159739,0.545383159626406,0.292,0.225,1,NA,NA,NA,"MAIT","week12"
"TXNDC15",0.30274409433413,0.544361829103566,0.233,0.165,1,NA,NA,NA,"MAIT","week12"
"CMPK2",0.302866870970834,1.10862857369442,0.104,0.055,1,NA,NA,NA,"MAIT","week12"
"MMS19",0.303044083230445,-0.299679843791097,0.281,0.264,1,NA,NA,NA,"MAIT","week12"
"TERF1",0.30308128124672,-0.142390119463321,0.227,0.181,1,NA,NA,NA,"MAIT","week12"
"ENSG00000266086",0.303170187724376,-0.403361497480111,0.125,0.143,1,NA,NA,NA,"MAIT","week12"
"MRRF",0.303222818184962,-0.42603253923325,0.149,0.176,1,NA,NA,NA,"MAIT","week12"
"DTWD1",0.303242000158028,0.486612113092599,0.138,0.082,1,NA,NA,NA,"MAIT","week12"
"KLHL5",0.303577022773547,-0.172075095025096,0.637,0.676,1,NA,NA,NA,"MAIT","week12"
"CENPK",0.303675851385369,0.132332432173188,0.216,0.214,1,NA,NA,NA,"MAIT","week12"
"RCAN1",0.303768279594775,0.919664871685925,0.104,0.071,1,NA,NA,NA,"MAIT","week12"
"PLXNA4",0.303898757637565,-0.5694156417867,0.175,0.209,1,NA,NA,NA,"MAIT","week12"
"DENND2D",0.304062619837632,-0.251537449895609,0.354,0.363,1,NA,NA,NA,"MAIT","week12"
"POM121",0.304068372726354,0.225648610352039,0.423,0.374,1,NA,NA,NA,"MAIT","week12"
"CCT6P1",0.30408554361291,-0.191295045213281,0.091,0.11,1,NA,NA,NA,"MAIT","week12"
"GCLC",0.304260425026926,0.3689353078782,0.19,0.165,1,NA,NA,NA,"MAIT","week12"
"ENSG00000263917",0.304495991206152,-0.652037355630673,0.153,0.17,1,NA,NA,NA,"MAIT","week12"
"ENSG00000290928",0.304518130933667,-0.107300567050765,0.214,0.236,1,NA,NA,NA,"MAIT","week12"
"AKAP10",0.304585013651896,-0.178030399872134,0.514,0.544,1,NA,NA,NA,"MAIT","week12"
"PHLDB3",0.304654976895539,-0.270936350570238,0.197,0.214,1,NA,NA,NA,"MAIT","week12"
"ENSG00000286044",0.304855014447221,-0.600287921919827,0.089,0.115,1,NA,NA,NA,"MAIT","week12"
"MBOAT2",0.304932023799903,-0.430168753031056,0.266,0.258,1,NA,NA,NA,"MAIT","week12"
"PMS2P4.1",0.305189075865001,-0.134807897177367,0.179,0.137,1,NA,NA,NA,"MAIT","week12"
"TMEM131",0.305258994375875,0.110285220183678,0.702,0.698,1,NA,NA,NA,"MAIT","week12"
"FBXO11",0.305389834452023,0.10604677652927,0.721,0.725,1,NA,NA,NA,"MAIT","week12"
"TSPYL2",0.305422198582528,0.123063900126772,0.281,0.291,1,NA,NA,NA,"MAIT","week12"
"KLHL29",0.305507011220082,0.31004466919014,0.108,0.115,1,NA,NA,NA,"MAIT","week12"
"SLX4IP",0.305579406978962,0.416454065511623,0.263,0.187,1,NA,NA,NA,"MAIT","week12"
"KHSRP",0.305768350521755,0.526892004408867,0.203,0.17,1,NA,NA,NA,"MAIT","week12"
"LZTR1",0.305889224401915,-0.437459676486109,0.149,0.154,1,NA,NA,NA,"MAIT","week12"
"MAP4K2",0.306034133129907,-0.17126780901913,0.261,0.28,1,NA,NA,NA,"MAIT","week12"
"RNU4-1",0.306114046306476,-0.296390859230927,0.253,0.264,1,NA,NA,NA,"MAIT","week12"
"CARM1",0.306148503947075,0.413343124087534,0.171,0.11,1,NA,NA,NA,"MAIT","week12"
"ENSG00000225218",0.306229262704781,-0.422566311578366,0.127,0.154,1,NA,NA,NA,"MAIT","week12"
"TMED5",0.306273028659055,0.104416697145794,0.298,0.286,1,NA,NA,NA,"MAIT","week12"
"SH3BGRL",0.306553486390555,-0.164372843542912,0.361,0.379,1,NA,NA,NA,"MAIT","week12"
"NPAS2",0.306554346119845,0.456545895095786,0.132,0.088,1,NA,NA,NA,"MAIT","week12"
"RAB8A",0.306751700402536,-0.118109237327099,0.238,0.258,1,NA,NA,NA,"MAIT","week12"
"ARPC5L",0.307043212962007,0.633706307172869,0.127,0.071,1,NA,NA,NA,"MAIT","week12"
"RNF24",0.30717307925029,0.256003001654843,0.289,0.269,1,NA,NA,NA,"MAIT","week12"
"PTPRD",0.307193156071606,0.663669988896125,0.153,0.099,1,NA,NA,NA,"MAIT","week12"
"IRAK4",0.307595567399088,-0.104158813140816,0.311,0.324,1,NA,NA,NA,"MAIT","week12"
"SCRN1",0.307605137116641,-0.698575989803044,0.106,0.104,1,NA,NA,NA,"MAIT","week12"
"MGA",0.307643073735481,0.323480342578512,0.581,0.522,1,NA,NA,NA,"MAIT","week12"
"SHLD2",0.308185356941905,0.441961442798676,0.324,0.264,1,NA,NA,NA,"MAIT","week12"
"LTA4H",0.308362044104975,-0.48627133830294,0.125,0.148,1,NA,NA,NA,"MAIT","week12"
"CDKL5",0.308543841350115,0.373553868745091,0.175,0.148,1,NA,NA,NA,"MAIT","week12"
"UBR4",0.308600174181964,0.138748240621353,0.825,0.797,1,NA,NA,NA,"MAIT","week12"
