"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"LINC02614",2.23442305798623e-05,0.476998960894899,0.101,0.07,1,NA,NA,NA,"CD8_Naive_T","week44"
"TRIM28",2.27306133336662e-05,-0.167132520504753,0.175,0.18,1,NA,NA,NA,"CD8_Naive_T","week44"
"PSMA1",2.29454277916203e-05,-0.123430055146695,0.942,0.938,1,NA,NA,NA,"CD8_Naive_T","week44"
"LANCL1",2.31748932060648e-05,0.217607074193502,0.198,0.16,1,NA,NA,NA,"CD8_Naive_T","week44"
"ENSG00000260392",2.32075958312604e-05,0.431565115483714,0.11,0.078,1,NA,NA,NA,"CD8_Naive_T","week44"
"PIK3R5",2.32388716191977e-05,-0.141788343070441,0.726,0.746,1,NA,NA,NA,"CD8_Naive_T","week44"
"ENSG00000291214",2.35844445697173e-05,0.277020063225667,0.307,0.254,1,NA,NA,NA,"CD8_Naive_T","week44"
"ZBTB44",2.37712315518994e-05,-0.152409582011437,0.526,0.537,1,NA,NA,NA,"CD8_Naive_T","week44"
"SAMSN1",2.41332546503858e-05,0.283792498261634,0.316,0.263,1,NA,NA,NA,"CD8_Naive_T","week44"
"C9orf72",2.42316736188601e-05,-0.268511240030134,0.262,0.296,1,NA,NA,NA,"CD8_Naive_T","week44"
"SUMO2",2.42863779398419e-05,-0.31435348071699,0.182,0.21,1,NA,NA,NA,"CD8_Naive_T","week44"
"PITPNC1",2.43459727769183e-05,0.109557090423461,0.991,0.988,1,NA,NA,NA,"CD8_Naive_T","week44"
"EPC2",2.43902898211272e-05,-0.115266948450678,0.726,0.741,1,NA,NA,NA,"CD8_Naive_T","week44"
"CSE1L",2.44253501034936e-05,-0.21466751250695,0.346,0.372,1,NA,NA,NA,"CD8_Naive_T","week44"
"LDAH",2.45385969977461e-05,0.338529052347116,0.243,0.196,1,NA,NA,NA,"CD8_Naive_T","week44"
"ELMO2",2.4962663563615e-05,-0.250828961006722,0.311,0.34,1,NA,NA,NA,"CD8_Naive_T","week44"
"RAD18",2.50448336442804e-05,0.31970296373479,0.241,0.195,1,NA,NA,NA,"CD8_Naive_T","week44"
"NT5C2",2.5544708604485e-05,-0.148573039723896,0.567,0.571,1,NA,NA,NA,"CD8_Naive_T","week44"
"SNHG17",2.55990108231977e-05,-0.457510430099585,0.111,0.142,1,NA,NA,NA,"CD8_Naive_T","week44"
"NXF1",2.58097904923588e-05,-0.249366889622328,0.268,0.295,1,NA,NA,NA,"CD8_Naive_T","week44"
"ENSG00000268575",2.5934368876319e-05,0.204767611603015,0.147,0.121,1,NA,NA,NA,"CD8_Naive_T","week44"
"MSN",2.63363814040512e-05,-0.101224530552251,0.741,0.766,1,NA,NA,NA,"CD8_Naive_T","week44"
"TRIM52",2.73558089616632e-05,-0.227012917821401,0.221,0.231,1,NA,NA,NA,"CD8_Naive_T","week44"
"TXLNA",2.80954714220963e-05,-0.274820168543792,0.221,0.244,1,NA,NA,NA,"CD8_Naive_T","week44"
"PIP5K1C",2.8187049779257e-05,-0.316210257846276,0.213,0.246,1,NA,NA,NA,"CD8_Naive_T","week44"
"ZFPM1",2.82821010702202e-05,0.38394106755684,0.162,0.125,1,NA,NA,NA,"CD8_Naive_T","week44"
"ANKH",2.84138847069819e-05,0.195760766372437,0.723,0.661,1,NA,NA,NA,"CD8_Naive_T","week44"
"PI4KA",2.85513044679993e-05,-0.127717388426612,0.647,0.653,1,NA,NA,NA,"CD8_Naive_T","week44"
"TRAFD1",2.85770065900596e-05,0.36102617728333,0.202,0.161,1,NA,NA,NA,"CD8_Naive_T","week44"
"CAMK2G",2.86150885686122e-05,-0.200168660833777,0.42,0.455,1,NA,NA,NA,"CD8_Naive_T","week44"
"NBPF19",2.8778305630743e-05,0.306118713626964,0.379,0.322,1,NA,NA,NA,"CD8_Naive_T","week44"
"ZNF24",2.87882216318582e-05,-0.118133993404947,0.338,0.342,1,NA,NA,NA,"CD8_Naive_T","week44"
"TAF7",2.90338606782675e-05,-0.293522722928933,0.245,0.275,1,NA,NA,NA,"CD8_Naive_T","week44"
"IL27RA",2.92262829830544e-05,-0.104948760091166,0.374,0.379,1,NA,NA,NA,"CD8_Naive_T","week44"
"SMBD1P",2.97393448019991e-05,0.358112787853392,0.123,0.095,1,NA,NA,NA,"CD8_Naive_T","week44"
"RPL18A",2.98379357457255e-05,0.358405705712858,0.143,0.113,1,NA,NA,NA,"CD8_Naive_T","week44"
"STMP1",2.98417333620652e-05,0.476148857382054,0.189,0.148,1,NA,NA,NA,"CD8_Naive_T","week44"
"STX18-AS1",2.99223168329963e-05,0.275749781640126,0.225,0.181,1,NA,NA,NA,"CD8_Naive_T","week44"
"ZNF805",3.02326543718505e-05,-0.523571055482323,0.117,0.135,1,NA,NA,NA,"CD8_Naive_T","week44"
"CD200R1",3.08043936993267e-05,-0.413089941092431,0.138,0.179,1,NA,NA,NA,"CD8_Naive_T","week44"
"MIR142HG",3.11526491937934e-05,0.19169640131631,0.356,0.303,1,NA,NA,NA,"CD8_Naive_T","week44"
"AKT3",3.12453933146643e-05,0.114029981595311,0.938,0.904,1,NA,NA,NA,"CD8_Naive_T","week44"
"MAP3K1",3.13124996159389e-05,-0.145582408329263,0.67,0.691,1,NA,NA,NA,"CD8_Naive_T","week44"
"ST6GAL1",3.17532833222242e-05,-0.126250227323299,0.828,0.831,1,NA,NA,NA,"CD8_Naive_T","week44"
"PPP4R3A",3.20577302692607e-05,-0.158428671444416,0.54,0.562,1,NA,NA,NA,"CD8_Naive_T","week44"
"MSL1",3.20894225916894e-05,-0.2681915962595,0.299,0.336,1,NA,NA,NA,"CD8_Naive_T","week44"
"ANKAR",3.26775124001164e-05,0.329668540494493,0.19,0.149,1,NA,NA,NA,"CD8_Naive_T","week44"
"EXOC6",3.28511673646488e-05,-0.171901043009185,0.396,0.411,1,NA,NA,NA,"CD8_Naive_T","week44"
"PHF11",3.358053165046e-05,0.310342785355393,0.399,0.344,1,NA,NA,NA,"CD8_Naive_T","week44"
"ZC3H15",3.38705245885949e-05,-0.199573954574258,0.299,0.321,1,NA,NA,NA,"CD8_Naive_T","week44"
"MFSD14B",3.39316744745063e-05,-0.337303453606927,0.194,0.239,1,NA,NA,NA,"CD8_Naive_T","week44"
"CCDC18",3.39987361323398e-05,-0.30290093201763,0.237,0.259,1,NA,NA,NA,"CD8_Naive_T","week44"
"KLF7",3.41124675087506e-05,0.240992306298104,0.616,0.569,1,NA,NA,NA,"CD8_Naive_T","week44"
"GABPB2",3.41359798557258e-05,-0.174565201712991,0.24,0.231,1,NA,NA,NA,"CD8_Naive_T","week44"
"SNX6",3.43379677707891e-05,-0.168153801028237,0.547,0.567,1,NA,NA,NA,"CD8_Naive_T","week44"
"HERC3",3.5521372612459e-05,0.164460290667461,0.563,0.5,1,NA,NA,NA,"CD8_Naive_T","week44"
"PILRB",3.59525739506981e-05,-0.214145370295169,0.341,0.369,1,NA,NA,NA,"CD8_Naive_T","week44"
"RIGI",3.62927848396597e-05,0.194302056206614,0.521,0.457,1,NA,NA,NA,"CD8_Naive_T","week44"
"ACSF3",3.66404880154016e-05,-0.17278742839184,0.425,0.441,1,NA,NA,NA,"CD8_Naive_T","week44"
"DIAPH2",3.70006580225856e-05,0.324772533689244,0.329,0.279,1,NA,NA,NA,"CD8_Naive_T","week44"
"PAN3",3.72156327111432e-05,-0.122634941140524,0.863,0.871,1,NA,NA,NA,"CD8_Naive_T","week44"
"KIF21B",3.72338917361844e-05,-0.229204052463691,0.319,0.344,1,NA,NA,NA,"CD8_Naive_T","week44"
"VPS8",3.73888169708583e-05,0.207895719396888,0.725,0.675,1,NA,NA,NA,"CD8_Naive_T","week44"
"OAZ1",3.79430640769142e-05,-0.17813274623238,0.269,0.274,1,NA,NA,NA,"CD8_Naive_T","week44"
"FRA10AC1",3.80070538801402e-05,0.207003245034069,0.25,0.207,1,NA,NA,NA,"CD8_Naive_T","week44"
"POLR3H",3.81367451349071e-05,-0.53327839272817,0.107,0.139,1,NA,NA,NA,"CD8_Naive_T","week44"
"CAPRIN1",3.83489273634371e-05,-0.141132118799131,0.515,0.528,1,NA,NA,NA,"CD8_Naive_T","week44"
"CSDE1",3.93132335858953e-05,-0.112026529916908,0.705,0.702,1,NA,NA,NA,"CD8_Naive_T","week44"
"SEC62",3.93379589814201e-05,-0.112521250086928,0.464,0.47,1,NA,NA,NA,"CD8_Naive_T","week44"
"PLPP3",3.95926271285594e-05,-0.282222047847742,0.242,0.263,1,NA,NA,NA,"CD8_Naive_T","week44"
"FUT8",3.99591122460809e-05,0.181095636149765,0.772,0.715,1,NA,NA,NA,"CD8_Naive_T","week44"
"XRCC5",4.00670908108975e-05,-0.118338863460159,0.735,0.75,1,NA,NA,NA,"CD8_Naive_T","week44"
"ACAD11",4.04429094885525e-05,0.385353932210089,0.171,0.132,1,NA,NA,NA,"CD8_Naive_T","week44"
"TNIK",4.08641549640948e-05,-0.113382143934506,0.864,0.876,1,NA,NA,NA,"CD8_Naive_T","week44"
"ZC3H13",4.11753942927381e-05,-0.116093974591893,0.645,0.649,1,NA,NA,NA,"CD8_Naive_T","week44"
